YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2023,7,3,0,35,27.7,73,3,120
2023,7,4,0,34.3,27,71,2,120
2023,7,5,0,35.6,28.8,66,3,120
2023,7,6,0,36.3,28.4,68,3,110
2023,7,7,0,35.5,27.1,68,2,290
2023,7,8,-1,35.4,27.4,67,2,110
2023,7,9,-1,34.9,27.3,75,2,210
2023,7,10,0,35.3,27.3,65,2,120
2023,7,11,4,34.5,26.2,71,2,280
2023,7,12,86,32.2,25.7,91,2,270
2023,7,13,32.5,27.4,25.4,91,3,230
2023,7,14,37.5,30.6,24.9,87,3,220
2023,7,15,28.5,31.2,24,75,3,230
2023,7,16,12,31.1,24.7,89,2,200
2023,7,17,0,33.2,26.6,75,2,240
2023,7,18,-1,32.7,26.4,79,2,290
2023,7,19,15.5,32.4,25.4,89,2,260
2023,7,20,-1,32.3,26.7,79,2,130
2023,7,21,0,34.7,27.5,75,2,230
2023,7,22,3,32,26.2,85,3,270
2023,7,23,5,32.2,25.2,81,4,260
2023,7,24,9.5,31.3,27,87,4,250
2023,7,25,33.5,32.1,25.4,84,8,260
2023,7,26,30,30.3,23.6,85,6,250
2023,7,27,34.5,31.1,25,85,4,230
2023,7,28,32,30.4,24,93,4,220
2023,7,29,74,30.6,24.3,89,2,260
2023,7,30,6.5,28.4,25.6,92,3,260
2023,7,31,34,30.7,25.4,96,3,260
2023,8,1,15.5,28.6,25.3,95,2,230
2023,8,2,25,30.6,25.4,98,3,230
2023,8,3,2,32,26.2,85,3,230
2023,8,4,0,32.6,26.9,80,3,220
2023,8,5,0,31.9,28,85,7,260
2023,8,6,-1,32.2,26.6,81,7,250
2023,8,7,33,32.4,26,85,7,250
2023,8,8,3.5,31.8,27.5,85,6,260
2023,8,9,-1,32.5,28.3,78,5,260
2023,8,10,0,32.8,27.7,79,5,260
2023,8,11,-1,32.2,27.1,80,5,260
2023,8,12,0,32.5,27.9,80,4,260
2023,8,13,11.5,32.8,27,81,4,230
2023,8,14,5.5,32.3,26.9,82,4,260
2023,8,15,0.5,32.3,27.1,80,5,250
2023,8,16,1,32.2,27.4,82,5,260
2023,8,17,-1,32.2,27.2,78,4,260
2023,8,18,0.5,32.7,26.9,80,4,260
2023,8,19,-1,32.6,27,74,3,230
2023,8,20,7.5,32.5,25.9,76,4,260
2023,8,21,33.5,31.8,26.7,81,4,260
2023,8,22,29,31.1,24.5,87,3,260
2023,8,23,61.5,32,24.9,81,3,240
2023,8,24,0,31.2,26.8,81,4,260
2023,8,25,0,32.3,28.3,78,6,250
2023,8,26,22.5,30.8,25.2,86,7,260
2023,8,27,3.5,29.2,25.8,90,6,260
2023,8,28,0,32.4,26.9,85,6,260
2023,8,29,3.5,30.3,26.8,84,6,240
2023,8,30,38,31.5,24.2,84,4,250
2023,8,31,32,30.8,25.7,91,3,250
2023,9,1,52.5,32.1,24.6,92,4,240
2023,9,2,49.5,31.9,25.9,89,4,250
2023,9,3,24.5,30.6,25.2,92,3,240
2023,9,4,10.5,30.2,25.4,91,3,250
2023,9,5,7,30.6,26.5,92,3,230
2023,9,6,0,32.8,27.2,80,3,280
2023,9,7,1,33.6,26.9,80,3,250
2023,9,8,3,33.6,25.4,79,3,270
2023,9,9,0,34,27.9,79,3,250
2023,9,10,1,32.1,26.8,79,3,260
2023,9,11,0,32,27.2,80,4,260
2023,9,12,4.5,31.7,25.1,86,2,280
2023,9,13,0,30.9,26.7,81,3,230
2023,9,14,0,31.5,26.4,84,3,260
2023,9,15,0.5,31,26.8,83,2,260
2023,9,16,1.5,35,27.3,76,2,160
2023,9,17,23.5,33.5,23.9,83,2,280
2023,9,18,0,33.7,27,73,2,300
2023,9,19,0,34.5,26.3,74,2,110
2023,9,20,0,35,27.8,75,2,110
2023,9,21,6,33.2,27.3,78,2,280
2023,9,22,12,30.4,25.6,90,1,200
2023,9,23,2.5,28.5,26.3,92,2,260
2023,9,24,0,33.2,27.2,77,1,140
2023,9,25,3.5,32.4,25.9,86,2,220
2023,9,26,15,32.4,22.7,82,3,260
2023,9,27,6.5,31.6,25.7,86,3,260
2023,9,28,41.5,35.3,23.9,77,2,260
