Date(UTC),"Science Garden Quezon City, Metro Manila Heat.Index.Max.Dly [deg C]"
Source,Climatic observation
18/01/2017 0:00,31.7
19/01/2017 0:00,31.6
20/01/2017 0:00,31.3
21/01/2017 0:00,32
22/01/2017 0:00,32.1
23/01/2017 0:00,32.1
24/01/2017 0:00,29.9
25/01/2017 0:00,30.1
26/01/2017 0:00,29.2
27/01/2017 0:00,29.5
28/01/2017 0:00,29.9
29/01/2017 0:00,31.5
30/01/2017 0:00,33.7
31/01/2017 0:00,34.9
01/02/2017 0:00,33.2
02/02/2017 0:00,31
03/02/2017 0:00,31.1
04/02/2017 0:00,29.7
05/02/2017 0:00,31.9
06/02/2017 0:00,32.5
07/02/2017 0:00,31.5
08/02/2017 0:00,33
09/02/2017 0:00,31.9
10/02/2017 0:00,29.9
11/02/2017 0:00,29.4
12/02/2017 0:00,30.1
13/02/2017 0:00,26
14/02/2017 0:00,28.5
15/02/2017 0:00,29.7
16/02/2017 0:00,29.8
17/02/2017 0:00,31.1
18/02/2017 0:00,31
19/02/2017 0:00,29.8
20/02/2017 0:00,36.1
21/02/2017 0:00,44.2
22/02/2017 0:00,34.4
23/02/2017 0:00,35.6
24/02/2017 0:00,34.3
25/02/2017 0:00,34.9
26/02/2017 0:00,34.5
27/02/2017 0:00,34.7
28/02/2017 0:00,33.5
01/03/2017 0:00,35
02/03/2017 0:00,31.4
03/03/2017 0:00,31.6
04/03/2017 0:00,29.9
05/03/2017 0:00,33.8
06/03/2017 0:00,34
07/03/2017 0:00,33.1
08/03/2017 0:00,33.8
09/03/2017 0:00,32.2
10/03/2017 0:00,33.1
11/03/2017 0:00,34
12/03/2017 0:00,33.9
13/03/2017 0:00,36.7
14/03/2017 0:00,36.1
15/03/2017 0:00,34
16/03/2017 0:00,33.6
17/03/2017 0:00,33
18/03/2017 0:00,33.3
19/03/2017 0:00,32.8
20/03/2017 0:00,32.6
21/03/2017 0:00,32.4
22/03/2017 0:00,38.2
23/03/2017 0:00,40.1
24/03/2017 0:00,38.5
25/03/2017 0:00,36.8
26/03/2017 0:00,37.3
27/03/2017 0:00,34.9
28/03/2017 0:00,33.3
29/03/2017 0:00,36.3
30/03/2017 0:00,34.4
31/03/2017 0:00,35.1
01/04/2017 0:00,36.6
02/04/2017 0:00,32.5
03/04/2017 0:00,32.6
04/04/2017 0:00,30.5
05/04/2017 0:00,32.3
06/04/2017 0:00,33.9
07/04/2017 0:00,35.9
08/04/2017 0:00,38.3
09/04/2017 0:00,39.2
10/04/2017 0:00,37.6
11/04/2017 0:00,37.5
12/04/2017 0:00,38.5
13/04/2017 0:00,37.7
14/04/2017 0:00,36.9
15/04/2017 0:00,35.5
16/04/2017 0:00,35
17/04/2017 0:00,39.7
18/04/2017 0:00,38
19/04/2017 0:00,38.7
20/04/2017 0:00,40.2
21/04/2017 0:00,39.8
22/04/2017 0:00,38
23/04/2017 0:00,39.7
24/04/2017 0:00,39.1
25/04/2017 0:00,37.6
26/04/2017 0:00,37.9
27/04/2017 0:00,39.7
28/04/2017 0:00,37.7
29/04/2017 0:00,38.3
30/04/2017 0:00,36.7
01/05/2017 0:00,40.3
02/05/2017 0:00,38.9
03/05/2017 0:00,39
04/05/2017 0:00,38.3
05/05/2017 0:00,37.5
06/05/2017 0:00,38.3
07/05/2017 0:00,39.1
08/05/2017 0:00,37.3
09/05/2017 0:00,39.2
10/05/2017 0:00,38.6
11/05/2017 0:00,38.2
12/05/2017 0:00,37.5
13/05/2017 0:00,40.7
14/05/2017 0:00,37
15/05/2017 0:00,38.9
16/05/2017 0:00,38.4
17/05/2017 0:00,39.3
18/05/2017 0:00,41.8
19/05/2017 0:00,42.2
20/05/2017 0:00,39.2
21/05/2017 0:00,38.7
22/05/2017 0:00,39.7
23/05/2017 0:00,39.9
24/05/2017 0:00,40.5
25/05/2017 0:00,36.1
26/05/2017 0:00,41
27/05/2017 0:00,40.6
28/05/2017 0:00,40.9
29/05/2017 0:00,42.6
30/05/2017 0:00,41.2
31/05/2017 0:00,40.7
01/06/2017 0:00,42.6
02/06/2017 0:00,40.3
03/06/2017 0:00,41.6
04/06/2017 0:00,40.5
05/06/2017 0:00,38.2
06/06/2017 0:00,38.2
07/06/2017 0:00,35.9
08/06/2017 0:00,38.8
09/06/2017 0:00,39.1
10/06/2017 0:00,34.5
11/06/2017 0:00,38
12/06/2017 0:00,39.5
13/06/2017 0:00,39.8
14/06/2017 0:00,44
15/06/2017 0:00,40.7
16/06/2017 0:00,40.3
17/06/2017 0:00,41.9
18/06/2017 0:00,39.3
19/06/2017 0:00,39.8
20/06/2017 0:00,38.5
21/06/2017 0:00,38.2
22/06/2017 0:00,38
23/06/2017 0:00,37.4
24/06/2017 0:00,39.7
25/06/2017 0:00,41.1
26/06/2017 0:00,39.7
27/06/2017 0:00,38.4
28/06/2017 0:00,35.2
29/06/2017 0:00,36.3
30/06/2017 0:00,38.7
01/07/2017 0:00,39.6
02/07/2017 0:00,38.9
03/07/2017 0:00,35.8
04/07/2017 0:00,36.3
05/07/2017 0:00,37.4
06/07/2017 0:00,39.9
07/07/2017 0:00,38.9
08/07/2017 0:00,37.8
09/07/2017 0:00,36.9
10/07/2017 0:00,37.5
11/07/2017 0:00,37.1
12/07/2017 0:00,36.3
13/07/2017 0:00,36.8
14/07/2017 0:00,36.7
